enhancer	log2_FC	p	diff_fdr
chr16:14097024-14097356	-1.539644904	0.003062408	0.015286756
chr9:114705587-114705765	1.469567373	0.003074917	0.015321082
chr8:102135026-102135273	1.820254451	0.003099493	0.015429409
chr22:27505581-27505799	4.344229152	0.003154247	0.015659086
chr21:47365117-47365541	-1.807856601	0.003166791	0.015706937
chr8:19075736-19075934	-1.281822624	0.003172351	0.015720182
chr2:235244091-235244800	-2.039574186	0.003185298	0.015743286
chr7:150317630-150317699	-1.514144133	0.003189613	0.015748352
chr20:52550838-52551665	1.972334573	0.00322855	0.015926147
chr9:762342-762602	-1.148533424	0.003246476	0.015985587
chr6:169588480-169588865	2.350512106	0.003286828	0.016132405
chr1:8137301-8137521	-1.061085364	0.003327977	0.016303658
chr4:86319574-86319721	-1.389228406	0.003329051	0.016303658
chr21:28797067-28797570	-1.051593312	0.003355832	0.016405282
chr8:131054431-131054834	1.420712604	0.003365713	0.01643882
chr6:168216462-168216639	1.481769734	0.003371754	0.016453553
chr10:8927492-8927792	6.558222679	0.003384882	0.016502816
chr10:42800348-42800675	2.137705769	0.003407696	0.016599172
chr10:22624164-22624549	3.463874677	0.003442027	0.016722429
chr5:173956576-173956772	2.128944341	0.003443423	0.016722429
chr9:113020211-113020679	1.038613568	0.003445294	0.016722429
chr18:56663357-56663639	2.187439605	0.003476916	0.016860873
chr7:106012031-106012296	-1.395449487	0.003489323	0.016905971
chr20:2191833-2192468	1.417305553	0.00349541	0.016920397
chr10:9057533-9057704	4.971552154	0.003529442	0.017069951
chr18:9008810-9009212	1.20714211	0.003533317	0.017073515
chr10:9228708-9229315	10.18337927	0.003552641	0.017151658
chr4:188400076-188400296	3.4835388	0.00360792	0.017363812
chr16:3035586-3035775	2.404199861	0.003662119	0.01760211
chr8:1694228-1694696	1.503048727	0.003759259	0.018037151
chr5:44805965-44806268	3.183072824	0.00378056	0.01812122
chr8:129115789-129116244	3.302026915	0.003783442	0.01812122
chr15:99992993-99993428	1.330949274	0.003849508	0.018369163
chr11:121307019-121307215	1.309616769	0.003856179	0.018372566
chr7:41099054-41099343	-1.020408429	0.003894041	0.018536723
chr19:5804044-5804378	-1.564388836	0.003908063	0.018587211
chr21:44614192-44614410	-1.442311522	0.003924659	0.018649843
chr7:12582030-12582229	2.179258782	0.003938307	0.018698366
chr21:44759656-44759904	2.074251759	0.004005986	0.018970037
chr14:91002225-91002449	-1.561257695	0.004028433	0.01905974
chr17:3173253-3173388	-1.411241569	0.004048934	0.019126775
chr20:56010646-56011025	2.803964448	0.004049631	0.019126775
chr22:39570081-39570473	1.379227857	0.004151109	0.01952957
chr21:44582937-44583304	-1.20607981	0.00415286	0.01952957
chr8:120124666-120124779	1.553179332	0.004161308	0.019540408
chr16:2518541-2518691	1.679978553	0.004165939	0.019540408
chr21:44753663-44753942	1.24923906	0.004214315	0.019733297
chr4:185202640-185202839	1.624038013	0.004237992	0.019815886
chr8:129163348-129163834	1.561225328	0.004298108	0.020056608
chr2:235198516-235198843	2.14613435	0.004313686	0.020094835
chr8:117235182-117235423	2.744562985	0.004331036	0.020149534
chr20:30200712-30201016	-1.630358737	0.004420678	0.020505461
chr20:49047228-49047674	-1.553831313	0.00442729	0.020518641
chr12:54610828-54611089	1.160188572	0.004433083	0.020528006
chr20:60943690-60943839	2.6592376	0.004512115	0.020840761
chr7:57471842-57471971	-1.220572646	0.004530185	0.020906478
chr1:242108255-242108348	1.545864194	0.004565983	0.021035998
chr20:46705616-46705776	5.852520357	0.004625528	0.021283378
chr3:141175186-141175511	2.479697602	0.004627502	0.021283378
chr1:235012060-235012373	1.71441571	0.004661873	0.021423353
chr8:65778039-65778194	-1.058199366	0.004746631	0.021786886
chr16:58160772-58161211	-1.056557885	0.004748988	0.021786886
chr12:16817876-16817986	-1.364112444	0.004833351	0.022117967
chr7:157085416-157085724	1.109160227	0.00486097	0.022212683
chr7:45497218-45497499	4.408125275	0.004889051	0.022260526
chr6:138029722-138029945	2.016716456	0.004972542	0.022621739
chr16:77708958-77709175	4.342354778	0.004996203	0.022710395
chr3:172325180-172325357	2.597355376	0.005005255	0.022732365
chr16:57701111-57701632	-1.15823274	0.005009393	0.022732365
chr7:33943577-33943776	-1.176653023	0.005035315	0.022811948
chr18:19924939-19925323	-1.127712914	0.005042932	0.022827449
chr12:53445016-53445392	1.05626553	0.005050066	0.02284074
chr3:193858651-193858843	1.177196415	0.005060284	0.022867944
chr5:14668408-14668752	1.839056114	0.005099888	0.023017299
chrX:149369210-149369612	2.134090428	0.005107097	0.023017299
chr2:238512238-238512938	-1.514853854	0.005123863	0.023059504
chr8:58122731-58123025	3.141244188	0.005170313	0.023249317
chr4:25536997-25537326	2.659140432	0.005175747	0.023254534
chr8:116990613-116990894	3.57142583	0.005201699	0.023351853
chr22:46374858-46375446	1.292304307	0.005229254	0.023436878
chr10:134826121-134826621	1.449477444	0.005239438	0.023463193
chr8:101484105-101484411	1.446758085	0.005278812	0.023616729
chr8:66894095-66894367	1.105897145	0.005282404	0.023616729
chr9:13083475-13083616	3.158972502	0.005356872	0.023930001
chr7:13758700-13759051	-1.477416479	0.005434564	0.024237265
chr11:119395840-119396223	-1.739473392	0.005454161	0.024289619
chr8:130697904-130698138	1.97543663	0.005472247	0.02432557
chr20:48924890-48925591	1.218086826	0.005480349	0.024336878
chr18:9705290-9705640	1.042199346	0.005483737	0.024336878
chrX:136647486-136647742	2.423665763	0.005501807	0.024387665
chr12:52595153-52595538	10.84852253	0.005508911	0.02438892
chr6:159483193-159483967	1.336121176	0.005526028	0.024444809
chr8:119879416-119879736	2.361745816	0.005537814	0.02447705
chr22:39890901-39891082	2.468390749	0.005546408	0.024483341
chr19:5989815-5989915	-1.061955976	0.005548237	0.024483341
chr8:17893767-17894158	1.003640814	0.005564498	0.024535198
chr10:22622234-22622399	2.944178322	0.005617417	0.024748473
chr2:237880182-237880685	-1.209159065	0.005626084	0.024766606
chr18:77723013-77723575	1.387060762	0.005699258	0.025048917
chr16:85346294-85346686	1.641850718	0.005699423	0.025048917
chr10:42799437-42799735	1.54127144	0.005793232	0.025440657
chr12:52559335-52559488	-1.928752451	0.005825082	0.025559896
chr8:96193707-96193951	3.842362248	0.005879707	0.02575804
chr6:389797-389927	-1.286636607	0.005896908	0.025776494
chr10:14549247-14549550	-1.096567636	0.005898132	0.025776494
chr5:14142803-14143164	1.273102978	0.005908703	0.025790465
chr1:234792654-234793437	2.933646557	0.005910809	0.025790465
chr8:101500158-101500422	1.865623706	0.005927287	0.025841643
chr3:177623981-177624160	2.623638926	0.005944128	0.025894315
chr5:176526460-176526848	1.461977904	0.005972375	0.025996555
chr22:46393370-46393721	1.762394672	0.005985427	0.026032539
chr20:35947612-35947897	-1.087284914	0.006001494	0.026081574
chr10:134260341-134260546	1.180776005	0.0060107	0.026100733
chr9:140132594-140132714	1.813922593	0.006062477	0.026283613
chr20:19716018-19716528	1.01846784	0.006081541	0.026345275
chr18:51773425-51773767	-1.92261433	0.0060979	0.026374145
chr8:129114844-129115073	3.978874401	0.006122841	0.026460984
chrX:130942336-130942500	2.074684762	0.006174752	0.026664149
chr10:22625615-22626028	2.452966806	0.006181391	0.026671646
chr8:134368494-134368766	3.653678019	0.006230018	0.026860163
chr1:234757412-234757805	1.70270632	0.006245701	0.026906461
chr12:31902136-31902566	1.076285574	0.006252431	0.026914144
chr1:27383957-27384315	-1.235666118	0.006275882	0.026993736
chr8:117630556-117630790	2.182191618	0.006296218	0.027059813
chr7:45518614-45518951	5.4717391	0.006342621	0.027237729
chr9:139892330-139892637	1.54206951	0.006362845	0.02730303
chr21:44598375-44598751	-1.63139744	0.006399154	0.027437194
chr10:22623174-22623719	3.028967387	0.006538054	0.027988632
chr20:45825158-45825275	-1.2485328	0.006557152	0.02804832
chr16:891857-892147	1.438347641	0.00665525	0.028400951
chr20:3691655-3691764	-1.091343381	0.006698283	0.028562193
chr7:156412276-156412413	1.037869212	0.006749487	0.028757993
chr14:91987775-91988051	1.039441137	0.006778368	0.028835887
chr11:1073369-1073545	2.715548368	0.00679737	0.028894133
chrX:7033628-7033911	2.182473265	0.006822524	0.028955813
chr6:170461964-170462067	2.613195165	0.006864729	0.02909821
chr8:69834272-69834684	1.748271998	0.006866771	0.02909821
chr4:170193381-170193745	1.38236659	0.00687984	0.029130902
chr1:249157308-249157673	1.15606009	0.006985883	0.029511017
chrX:130722065-130722519	2.038665274	0.007007117	0.029577751
chr3:194040514-194040910	1.828351612	0.007024204	0.029603948
chr5:1316464-1316882	1.462822798	0.007114073	0.029959496
chr8:129180743-129180870	2.548528996	0.007203749	0.03029026
chr14:35810635-35811251	1.402742228	0.007237537	0.030385369
chr8:55382610-55382722	-1.389582826	0.007243196	0.030385682
chr1:2476299-2476723	1.328034695	0.007265721	0.030435964
chr7:40584238-40584551	2.077079754	0.00726637	0.030435964
chr2:238392046-238392381	1.610756666	0.007295142	0.030532974
chr2:238384383-238384688	1.825823847	0.007322936	0.030625747
chr8:117070380-117070761	1.751725733	0.007344336	0.030688813
chr21:44072717-44073208	-1.05298468	0.007349297	0.030688813
chr1:229374566-229374670	-1.436746257	0.007413612	0.030928278
chr21:14888211-14888445	5.137063036	0.007469667	0.031095991
chr3:182645862-182646115	-1.050434248	0.007505466	0.031197281
chr22:48184441-48184585	2.527590229	0.007513558	0.031207078
chr20:4070898-4071147	1.455286735	0.007542288	0.03130251
chr21:28804215-28804390	-1.308916051	0.007549781	0.031309726
chr10:29420684-29421072	1.660345493	0.007561516	0.031334507
chr3:142844486-142844557	-1.319149632	0.007578807	0.031358395
chr8:130703284-130703457	1.60836464	0.007585648	0.03136285
chr20:46653872-46653986	3.242034407	0.007668847	0.031658724
chr6:157542479-157542718	1.253568176	0.007691601	0.031704545
chr7:75793189-75793404	2.25504262	0.00775521	0.031942543
chr20:46620819-46621265	5.932577122	0.007796999	0.032085814
chr10:4173688-4174411	-1.599623897	0.007801789	0.032085814
chr22:39649567-39649736	2.432189435	0.007890108	0.03242453
chr16:33948799-33949141	-1.115504828	0.007922652	0.032509162
chr5:173957114-173957459	2.18697959	0.007981527	0.032676817
chr8:1694921-1695309	1.697301827	0.008026145	0.032792667
chr11:129201080-129201232	1.623237179	0.008028172	0.032792667
chr2:237652147-237652530	-1.686831466	0.008033932	0.032792667
chr6:131146297-131146332	-1.220621132	0.008070268	0.032916288
chr6:151808675-151808852	1.388180846	0.008079965	0.032931152
chr6:1311143-1311466	-1.056751361	0.008120415	0.033071239
chr10:37778060-37778402	4.072862357	0.008180467	0.033266011
chr20:4063933-4064413	2.253857645	0.008189115	0.033276306
chr14:25140073-25140450	1.657300799	0.008255061	0.033519243
chr8:1684662-1684866	1.750667636	0.00830635	0.033701813
chr20:20724152-20724406	-1.652100531	0.008312412	0.033701813
chr1:234471096-234471421	-1.170143699	0.008410205	0.034072917
chr14:103577206-103577606	2.349510925	0.008544336	0.034564856
chr1:8173446-8173525	-1.355833301	0.008569321	0.034640174
chr7:2517395-2517647	-1.210041992	0.008595567	0.034691676
chr1:234989990-234990213	2.429682757	0.008601189	0.034691676
chr7:75948116-75948327	1.072692764	0.008839783	0.035542762
chr14:21268104-21268276	-1.203498872	0.008841701	0.035542762
chr8:101444913-101445066	2.404161769	0.008844863	0.035542762
chr20:35905068-35905696	1.057188951	0.008874496	0.035600488
chr16:87098907-87099213	2.544305503	0.008884916	0.035600488
chr16:8232837-8233487	2.146453315	0.008948685	0.035827663
chr8:129002909-129003328	1.496121921	0.00898397	0.035916075
chr7:157064608-157064951	1.688995638	0.009140911	0.036438358
chr19:823657-823956	1.014790625	0.0091414	0.036438358
chr16:85355565-85356105	1.069972968	0.009191538	0.036611391
chr4:189381303-189381562	-1.099986045	0.009244251	0.036794417
chr3:156828715-156829105	-1.349626497	0.00930353	0.036976264
chr7:25990725-25991211	2.057243682	0.009327833	0.037030598
chr6:6874206-6874337	1.092195183	0.009337324	0.037030598
chr10:5504427-5504665	1.401190486	0.009337618	0.037030598
chr20:61505589-61505880	1.684688513	0.00936133	0.037097594
chr4:79555155-79555549	-1.056124545	0.009446191	0.03740664
chr16:11448700-11449053	1.520557721	0.009638328	0.038112022
chr7:40938770-40939089	1.611028451	0.009690829	0.038291795
chr2:238122137-238122516	-1.814643285	0.009739829	0.038457481
chr12:10712275-10712375	1.544104304	0.009877	0.038918504
chr5:9833016-9833279	3.37937677	0.009878047	0.038918504
chr6:170467648-170467815	1.457671356	0.009944571	0.039130072
chr14:105500263-105500628	1.228746298	0.010054901	0.039443921
chr12:13034551-13034650	2.159449843	0.010081573	0.03951171
chr6:163826086-163826393	-1.439843431	0.010086705	0.03951171
chr11:117879327-117879545	-2.078161648	0.010154072	0.039742994
chr4:25554656-25554918	2.397683567	0.010160357	0.039742994
chr12:53398446-53398634	1.427080763	0.010229572	0.039956283
chr1:8262223-8262541	1.720159465	0.010326612	0.040248635
chr7:129460659-129460706	1.926443161	0.010387431	0.040398866
chr6:137988139-137988331	2.167474334	0.010590113	0.041142777
chr11:9639557-9639822	-1.024712249	0.010594168	0.041142777
chr22:41079087-41079368	-1.130326952	0.010601392	0.041142777
chr20:36042310-36042952	-1.343917621	0.01075009	0.041660426
chr14:96592738-96593055	1.302924637	0.010762475	0.041678738
chr5:54893100-54893403	-1.845756721	0.010798848	0.041778859
chr10:8077253-8077826	1.355437171	0.010811364	0.041778859
chr16:14050567-14050869	-1.170768961	0.01089619	0.04201713
chr21:44764269-44764611	2.802098504	0.01090973	0.042022662
chr2:238391204-238391436	1.222842784	0.011144444	0.042822683
chr20:9480861-9480978	-1.023281955	0.011188678	0.042901759
chr16:57703353-57703558	-1.508835148	0.011210766	0.042956183
chr6:14211061-14211714	1.298790796	0.011269372	0.043150353
chr3:176439687-176439857	2.914699244	0.01131833	0.043276902
chr7:47302239-47302434	1.515819323	0.011358391	0.043383768
chr8:144360422-144361034	1.309712352	0.011382801	0.043431852
chr20:52551883-52552311	2.364848092	0.011445656	0.043557536
chr20:31126982-31127359	1.505365385	0.011447763	0.043557536
chr22:44856761-44856923	-1.463697573	0.011478859	0.043645335
chr7:157094771-157094925	1.154374212	0.011534672	0.043826922
chr6:170589556-170589600	2.002200986	0.011617909	0.044081619
chr6:147234581-147234754	3.024526724	0.011681498	0.044292006
chr21:46266361-46266565	1.154278038	0.011829223	0.044776514
chr14:35802936-35803364	1.650781932	0.011833969	0.044776514
chr3:187467867-187468249	-2.223136712	0.011955271	0.045204052
chr10:8909152-8909331	5.926968519	0.011968789	0.045223737
chr3:142844875-142844897	-1.614848992	0.012102341	0.045670238
chr1:8187563-8187834	-1.256563553	0.012103746	0.045670238
chr7:391299-391474	-1.051753075	0.01212086	0.045703119
chr8:61841765-61842074	1.563180122	0.012189474	0.045881913
chr4:30718904-30719447	1.185752402	0.012193576	0.045881913
chr12:50324888-50325278	-1.198103264	0.012208456	0.045906156
chr2:242954051-242954322	1.680873515	0.012235963	0.045977816
chr12:54072437-54072838	-1.162389458	0.012310424	0.046130177
chr11:1523761-1524132	1.560850214	0.012361477	0.046289604
chr8:102388506-102388737	2.445371609	0.012386605	0.046351802
chr22:42829562-42829963	1.564630623	0.012434899	0.046500538
chr1:1060905-1061095	2.161274644	0.01247024	0.046568686
chr10:3845250-3845852	2.018270539	0.01259227	0.046845542
chr10:9115735-9116358	4.677486998	0.012596035	0.046845542
chr5:44405989-44406097	-1.194379508	0.012709737	0.047203875
chr21:44761192-44761567	1.816983541	0.012743203	0.047295884
chr6:138045007-138045495	2.292831287	0.012838293	0.047583892
chr7:156735476-156735625	2.172998041	0.012904147	0.0477629
chr4:174337339-174338040	1.676059214	0.012937731	0.047789677
chr14:105511213-105511346	1.547343779	0.012962486	0.047848633
chr4:185201876-185202105	1.248001017	0.013015473	0.048011652
chr8:144443049-144443270	2.275014481	0.013063861	0.048157497
chr12:8123968-8124323	2.685656773	0.013131848	0.048375345
chr20:46417679-46418052	1.481160631	0.013168095	0.048443276
chr21:46185657-46185775	3.853232075	0.013232102	0.048645856
chr2:232530920-232531416	1.334809706	0.013317342	0.048893157
chr10:3797195-3797502	1.50289734	0.013326431	0.048893532
chr18:3305401-3305555	3.729503552	0.013390139	0.049059689
chr11:2234751-2234909	5.521346476	0.013403589	0.049059689
chr1:8263853-8264184	1.339966004	0.013407785	0.049059689
chr4:1865990-1866293	2.333491962	0.013441612	0.049096379
chr22:49816245-49816581	-1.152526602	0.013444882	0.049096379
chr8:125212215-125212575	3.4927916	0.013693284	0.049802914
chr7:104584670-104585063	-1.16490945	0.013719782	0.049865955
chr22:48185959-48186142	3.627232307	0.013767641	0.049990943
