enhancer	FC	p	diff_fdr
chr7:20054783-20055072	2.539340849	0.092554425	0.198602472
chr9:110130757-110130886	0.547868645	0.092612468	0.198602472
chr17:6938707-6938851	1.499171673	0.092634389	0.198602472
chr21:45640329-45640509	2.11731012	0.09267536	0.198602472
chr12:46867492-46867759	5.851066098	0.092676287	0.198602472
chr21:44876530-44876883	0.693548489	0.092743576	0.198612671
chr18:12777545-12777688	0.652108642	0.092757134	0.198612671
chr5:54731133-54731267	0.788916355	0.092790555	0.198612671
chr1:20505958-20506082	4.648134859	0.092858809	0.198663763
chr20:61822824-61823015	2.191501443	0.092918442	0.198663763
chr2:241585712-241586190	7.913101401	0.092923962	0.198663763
chr7:17082630-17082968	0.567526893	0.093050258	0.198841339
chr10:3528683-3528786	2.514477666	0.093080112	0.198841339
chr9:118238127-118238536	0.631396115	0.093231209	0.19903175
chr11:92807675-92808032	1.491548918	0.093264026	0.19903175
chr9:102276070-102276271	0.559805971	0.093278986	0.19903175
chr2:238065108-238065400	0.707001945	0.093331517	0.199058021
chr7:139782179-139782472	1.71430697	0.093364468	0.199058021
chr7:1616013-1616182	0.791981372	0.093414511	0.199086703
chr20:1168274-1168908	0.726898272	0.09345265	0.199090004
chr6:2299603-2299973	1.402525318	0.093630479	0.199390778
chr12:12111679-12111898	2.389353994	0.093815195	0.199705977
chr14:23015324-23015612	1.313485317	0.093998853	0.200018678
chr6:158640222-158640658	1.928814826	0.094127767	0.200143874
chr8:103437932-103438334	1.67633678	0.094131258	0.200143874
chr6:158670119-158670409	5.434276901	0.094210363	0.200233822
chr8:101511601-101511939	1.8915815	0.094518268	0.2008098
chr4:158904600-158904766	54.64166216	0.094611259	0.200928906
chr20:62139467-62139677	1.349136086	0.094704205	0.201034028
chr14:102997284-102997579	2.246197807	0.094798707	0.201034028
chr7:130697034-130697567	5.683534726	0.094803846	0.201034028
chr20:61641732-61642015	0.446657445	0.094808549	0.201034028
chr11:130479003-130479154	2.704456891	0.094846401	0.201035943
chr15:93131436-93131762	1.96723552	0.095010134	0.201304571
chr18:77331313-77331555	2.513458621	0.095286555	0.201811656
chr8:128989961-128990273	9.085343489	0.095843091	0.202911384
chr1:9224991-9225286	5.158942571	0.095901621	0.202956329
chr12:54814164-54814540	0.589004689	0.096026715	0.203142051
chr1:232726496-232726761	4.934104042	0.096205538	0.203441249
chr6:116247686-116248075	2.127443519	0.096344915	0.203656831
chr4:103365427-103365811	3.410716523	0.096433629	0.203725369
chr4:139697063-139697240	13.85936516	0.096452224	0.203725369
chr16:80971971-80972227	2.33896705	0.096642429	0.204047906
chr8:67454365-67454567	2.634625308	0.096962366	0.204644
chr8:110248064-110248088	2.655326751	0.097005652	0.204655972
chr21:26824003-26824303	0.58956547	0.097128439	0.204835595
chr2:227665142-227665696	1.250436404	0.097177016	0.204858637
chr9:5627107-5627559	1.619856796	0.09739482	0.205238271
chr5:10762440-10762719	0.819923268	0.097638435	0.205656423
chr18:9101793-9102110	1.489300847	0.097668847	0.205656423
chr1:229327820-229328069	0.491260046	0.097716064	0.20567625
chr5:180615428-180615595	1.37008278	0.097758935	0.205686916
chr10:8794296-8794681	42.82409277	0.097976556	0.20606511
chr3:181329651-181329904	3.487197792	0.098475366	0.207034183
chr6:7058764-7058925	6.10694306	0.098734007	0.207262267
chrX:153755432-153755621	0.595423309	0.098734447	0.207262267
chr12:9802084-9802505	1.761651842	0.098735771	0.207262267
chr20:58437773-58438005	8.046640812	0.098769774	0.207262267
chr12:50340061-50340418	2.920063028	0.098774317	0.207262267
chr8:59130652-59130921	2.360258063	0.098867452	0.207377721
chr20:52533564-52534521	0.487377622	0.09891867	0.207405197
chr10:22629825-22629981	3.092257968	0.098978477	0.207450651
chr6:107230465-107230834	3.231318238	0.099158902	0.207748782
chr10:22535914-22536341	0.767165563	0.099478935	0.208244296
chr3:197439165-197439566	3.521251835	0.099506299	0.208244296
chr11:2308189-2308521	0.757766923	0.099510231	0.208244296
chr14:102429527-102429743	0.853767807	0.099715901	0.208594471
chr7:17564000-17564574	3.278676625	0.099754241	0.208594475
chr11:129730176-129730501	1.294486818	0.100115207	0.209268859
chr16:85591342-85591727	4.064502613	0.100168405	0.209281936
chrX:374049-374390	0.70419553	0.100198391	0.209281936
chr4:190936592-190936699	4.085161022	0.100482938	0.2097387
chr14:105532794-105533222	2.341837076	0.100526836	0.2097387
chrX:111866747-111867081	0.583828183	0.10053272	0.2097387
chr14:91729802-91729926	4.099719493	0.10059702	0.209792406
chr3:152878171-152878732	0.696352961	0.100833674	0.210205372
chr5:6827723-6827881	2.223255689	0.101010105	0.210492524
chr12:10711881-10711950	2.036631172	0.101123397	0.210647933
chr6:125282351-125282561	0.621639093	0.101355224	0.211050047
chr15:100014381-100014718	1.939399183	0.10165215	0.211587356
chr14:94860948-94861396	2.507293948	0.10181595	0.211847261
chr1:27112764-27112917	0.713866528	0.101922902	0.211988727
chr6:161394419-161394560	3.919139199	0.102136193	0.212351176
chr6:159359890-159360005	0.536571655	0.102279048	0.212566959
chr8:61564243-61564650	1.412064675	0.102486236	0.212916232
chr8:27117567-27117870	0.690076015	0.102662034	0.213200047
chr4:77868010-77868840	0.842233306	0.10297374	0.213765783
chr16:66261676-66262039	3.915279658	0.103236735	0.214230005
chr6:129855341-129855708	4.351692279	0.103354745	0.214393125
chr7:80559039-80559447	2.5286018	0.103425064	0.214417425
chr12:12592534-12593034	4.956507813	0.103445275	0.214417425
chr4:158928268-158928394	34.80374377	0.103738283	0.214942877
chr4:24472474-24473298	1.633950149	0.103852823	0.215098291
chr8:126398156-126398380	2.100131071	0.104035534	0.215394726
chr4:185260528-185261047	0.770472651	0.104168755	0.215588511
chr9:139294189-139294305	0.582671089	0.104249209	0.215672984
chr9:140200054-140200221	1.806166234	0.104492751	0.216094664
chr9:131937094-131937487	1.516466293	0.104580296	0.216193538
chr2:232580827-232581056	0.464873627	0.104698932	0.216356585
chr2:240829709-240829975	2.162778901	0.104822163	0.216495206
chr3:150089534-150090066	2.239037672	0.104858423	0.216495206
chr16:88474264-88474567	3.607480535	0.104885382	0.216495206
chr10:31423488-31423889	0.761084558	0.105019962	0.21669079
chr8:125769783-125770033	2.142826364	0.105185031	0.21694911
chr22:46041491-46041960	0.703645348	0.10523926	0.216962461
chr22:44759236-44759683	2.571260281	0.105271255	0.216962461
chr6:14721191-14721587	2.591535798	0.105536626	0.217427029
chr16:85343960-85344187	2.39044507	0.105796634	0.217829743
chr12:52890343-52890794	0.446098867	0.105812169	0.217829743
chr12:46943558-46944140	5.141217944	0.105893477	0.217914678
chr4:190488095-190488477	2.792169959	0.105979087	0.218008397
chr10:20064263-20064493	2.955899512	0.106117097	0.218209797
chr16:2924940-2925188	4.718149743	0.106234209	0.218368088
chr15:101711330-101711507	0.836290871	0.106480247	0.218615559
chr20:36040566-36040861	0.648717889	0.106497614	0.218615559
chr8:128313576-128313848	2.135705795	0.106501229	0.218615559
chr8:29413574-29413927	9.191889392	0.106515318	0.218615559
chr7:139932775-139933344	3.248438071	0.106591664	0.21868976
chr22:46467914-46468476	1.669470522	0.10679009	0.218954952
chr2:239755854-239755907	0.445872917	0.106816073	0.218954952
chr7:143111009-143111369	1.455692825	0.106841646	0.218954952
chr8:23655999-23656321	1.89457392	0.106980326	0.219156609
chr8:128822251-128823013	5.829324982	0.107190697	0.219504924
chr20:1083260-1083345	2.414130733	0.10725928	0.219562732
chr8:128961875-128962320	9.038789918	0.107395311	0.219643146
chr4:38607589-38607693	0.761157255	0.107410003	0.219643146
chr7:139929659-139930294	2.426602792	0.107419668	0.219643146
chr7:75795833-75796053	2.033134547	0.10746191	0.219646977
chr16:58127289-58127598	1.480221701	0.10756415	0.219773392
chr8:128068284-128068629	4.055728465	0.107929577	0.220437247
chr12:27931494-27931809	1.274528088	0.107980779	0.220459069
chr4:40186764-40186901	1.246012421	0.108023757	0.22046409
chr9:5494240-5494600	0.573938819	0.108118355	0.220574418
chrX:2626302-2626463	4.000799004	0.108162808	0.220582399
chr18:8730480-8730718	8.579514758	0.108725928	0.221647724
chr16:85557334-85557622	6.168884248	0.108895624	0.221910521
chr7:141564578-141564874	0.637620677	0.109152902	0.222351531
chr7:106209189-106209713	0.600400986	0.109332186	0.222624569
chr9:138285505-138285888	6.153568362	0.109390257	0.222624569
chr6:149018728-149019099	0.697720051	0.109409685	0.222624569
chr6:14003081-14003445	1.699713542	0.109488695	0.222702052
chr8:8991645-8992043	0.782216527	0.10999447	0.223633986
chr3:196347011-196347384	3.051017394	0.110029072	0.223633986
chr7:157227632-157227698	1.501577979	0.110187963	0.223797506
chr7:130670866-130671152	5.457053707	0.110191788	0.223797506
chr16:66300887-66301381	1.609344517	0.110272007	0.223876863
chr16:85558951-85559083	12.08834074	0.11037772	0.223926659
chr20:34352431-34352602	1.370327262	0.110378846	0.223926659
chr12:10707226-10707846	2.424582898	0.110522052	0.224133614
chr8:80680806-80681178	1.853261084	0.110647045	0.224303491
chr12:13376628-13377027	0.577846189	0.110937868	0.224809289
chr6:6876146-6876412	2.506919928	0.111094947	0.224966382
chr7:22742975-22743282	0.748144511	0.111098083	0.224966382
chr11:1404403-1404794	4.356615644	0.111374184	0.225441568
chr21:46749567-46749782	0.651546986	0.111579885	0.225773951
chr5:175116445-175116962	1.690278622	0.11168631	0.225905283
chr10:22535612-22535856	0.811824045	0.111739023	0.225927917
chr8:71357346-71357735	2.712892613	0.111797985	0.225963163
chr8:90741352-90741628	2.158925165	0.11211123	0.226512144
chr1:236105368-236105579	2.310027301	0.112605049	0.227425416
chr4:185267961-185268127	0.593979722	0.112813207	0.227761284
chr1:9223907-9224260	5.37373879	0.112897635	0.227847193
chr20:12736989-12737202	0.741420953	0.112972672	0.227914093
chr10:3846443-3847038	2.133610891	0.113020206	0.227925479
chr14:91727497-91727640	2.836451632	0.113092	0.227958979
chr12:860254-860664	1.171300394	0.113120611	0.227958979
chr6:10316491-10316897	0.552211337	0.113200523	0.228035559
chr8:124684984-124685340	1.656902624	0.113483325	0.228520641
chr8:90838382-90838725	8.563643408	0.113573828	0.228568207
chr20:31215960-31216286	2.071673302	0.113590964	0.228568207
chr20:19983799-19983958	1.236888235	0.113752215	0.22880806
chr7:96600471-96600829	3.865092186	0.114129324	0.229473088
chr7:143602007-143602175	9.714282199	0.114167184	0.229473088
chr14:105327046-105327788	0.8195267	0.11431936	0.229694106
chr8:66862327-66863132	0.45464323	0.114556487	0.230085583
chr6:139618175-139618262	1.434268045	0.114878525	0.230647253
chr4:14833004-14833350	11.21681006	0.114977082	0.230759979
chr8:66894469-66894744	1.561056868	0.11521891	0.231160062
chr7:20837430-20837819	3.019719368	0.115344054	0.231325839
chr20:5628590-5628895	0.459818431	0.115540127	0.231633689
chr11:34706877-34707176	0.634448688	0.115744133	0.231957211
chr14:22961127-22961337	3.133287034	0.115808253	0.23200026
chr8:128311072-128311242	2.352926422	0.115872541	0.232043612
chr8:122347057-122347434	2.097890715	0.116107537	0.232355593
chr5:173169045-173169768	2.409334324	0.11611374	0.232355593
chr10:24858253-24858468	0.590039885	0.116322001	0.232608887
chr10:29184035-29184352	6.165271075	0.116325819	0.232608887
chr3:177310528-177310702	3.898263721	0.116489805	0.232851223
chr20:31170393-31170766	18.707746	0.116821637	0.233428764
chr8:29914930-29915195	2.729772334	0.116948389	0.233547457
chr6:170361995-170362544	1.714063584	0.116966885	0.233547457
chr16:85623714-85624085	4.070009172	0.117362647	0.234210447
chr21:44752617-44753007	1.493830875	0.117398386	0.234210447
chr22:50242140-50242406	1.610901528	0.117428065	0.234210447
chr12:9060195-9060360	3.610883703	0.117499693	0.234267436
chr21:17264124-17264427	0.825336693	0.11772279	0.234626263
chr12:27332593-27333057	3.259720914	0.118118805	0.235329336
chr1:244467525-244467677	2.091267668	0.118186925	0.235378865
chr3:194360985-194361172	1.141940784	0.118325343	0.235564347
chr3:193758380-193758567	2.604975845	0.118366647	0.235564347
chr12:46947043-46947401	69.04865458	0.118514255	0.235671247
chr8:128825013-128825274	5.189996519	0.118548542	0.235671247
chr22:46480881-46481264	4.289263241	0.118550304	0.235671247
chr21:26932183-26932293	0.6928299	0.118605825	0.235695505
chrX:149201039-149201275	19.82389524	0.11881868	0.236032289
chr1:235080718-235080947	0.523484408	0.118951026	0.236208954
chr4:154571958-154574588	1.77544457	0.119156536	0.236530722
chr9:138818727-138819161	0.811649963	0.119417639	0.236962573
chr6:151803039-151803196	1.675292514	0.119553248	0.237145178
chr8:72752786-72752941	0.640820704	0.119601214	0.237153864
chr22:27506238-27506397	3.806902422	0.11979439	0.237450373
chr8:101913945-101914105	0.465916258	0.119942818	0.237658002
chr6:2818084-2818421	0.76255661	0.120007817	0.23770023
chr22:45553376-45553664	1.250605554	0.120072166	0.237715527
chr12:9065319-9065715	2.01779734	0.120102919	0.237715527
chr3:193588375-193588843	0.67147318	0.120487501	0.238389998
chr4:154584497-154584872	0.24782956	0.120614849	0.23847583
chr17:2627139-2627523	2.405069854	0.120618542	0.23847583
chr8:128948050-128948240	3.309845577	0.120837824	0.238822595
chr22:41844337-41844774	0.835948577	0.120995106	0.239046613
chr12:12599819-12600045	4.183123855	0.121063805	0.239095523
chr16:85600571-85600865	9.548952165	0.121298354	0.239470617
chr20:34127589-34128004	1.987078565	0.121341756	0.239470617
chr4:129438976-129439122	0.834620816	0.121731485	0.240152651
chr21:26823616-26823948	0.48028296	0.121886356	0.240270491
chr7:102452256-102452586	1.337704704	0.121921232	0.240270491
chr11:95421761-95422014	4.273042705	0.121923695	0.240270491
chr14:104315137-104315546	1.292121919	0.122198519	0.24070963
chr2:230175161-230175497	2.682688543	0.122245996	0.24070963
chr16:10713350-10713596	2.215031343	0.122279253	0.24070963
chr12:38493611-38493806	0.605208938	0.122365052	0.240791409
chr4:190937232-190937266	2.552523768	0.122644565	0.241243475
chr20:19804713-19804972	2.200255046	0.12270801	0.241243475
chr20:17593106-17593506	1.558158919	0.122772241	0.241243475
chr7:135665513-135665767	0.718559335	0.12279485	0.241243475
chr16:85558121-85558453	7.596719401	0.122816472	0.241243475
chr1:14843752-14844090	9.120461917	0.122923102	0.241365787
chr10:11924114-11924319	0.523800969	0.123003712	0.241436939
chr21:44918002-44918401	2.160498835	0.123062207	0.241464647
chr18:77721815-77722347	2.387564799	0.123237016	0.241720477
chr3:161138601-161138921	1.597636844	0.123377213	0.241908257
chr8:117510988-117511103	18.36652075	0.123524436	0.242103183
chr5:159896720-159897088	6.723581354	0.12356562	0.242103183
chr1:1093610-1093958	1.387762505	0.123629349	0.242140852
chrX:1367285-1367756	0.536418246	0.123709557	0.242210759
chr1:1368471-1368786	1.232624551	0.123830657	0.242360649
chr12:3856709-3856898	4.418124778	0.124084892	0.242666407
chr8:75494116-75494334	3.396771446	0.124145932	0.242666407
chr16:85603902-85604423	2.821227494	0.12415038	0.242666407
chr8:96180882-96181195	2.741031148	0.124235672	0.242666407
chr4:129494967-129495325	0.539399418	0.124272855	0.242666407
chr7:130696655-130697004	5.060715737	0.124282904	0.242666407
chr10:31015875-31016223	0.599684096	0.124299077	0.242666407
chr2:241905496-241905651	0.495333755	0.124496567	0.24288696
chr20:31127706-31127839	8.222732767	0.124501329	0.24288696
chr12:13292095-13292429	2.849329073	0.124644067	0.243078269
chr5:172730964-172731211	2.515417696	0.124697331	0.243095013
chr10:29196228-29196432	15.08910141	0.1248369	0.243273973
chr12:46886273-46886657	3.816304531	0.124894078	0.243273973
chr8:103933096-103933543	5.724487972	0.124923264	0.243273973
chr8:128185119-128185731	12.26706862	0.125009145	0.243345087
chr3:156480605-156480801	1.649133427	0.12504923	0.243345087
chr8:29230784-29230978	0.484469646	0.125185763	0.243523682
chr5:54886412-54886788	0.523872812	0.125366992	0.243710986
chr20:39631777-39632207	0.529950014	0.125371632	0.243710986
chr7:38371416-38371642	0.584148698	0.125541459	0.243834692
chr4:14857617-14857813	5.572386722	0.125546935	0.243834692
chr8:102149452-102149813	2.748090687	0.125569713	0.243834692
chr7:7896018-7896243	2.096317455	0.125827686	0.244248462
chr7:149232526-149232604	1.902703592	0.125964682	0.244359133
chrX:73236075-73236382	0.830585426	0.125974521	0.244359133
chrX:9948395-9948719	1.617954742	0.126054449	0.244427033
chr19:1183874-1184237	4.489016854	0.12610104	0.244430267
chr14:38534360-38534722	6.464737347	0.126150247	0.244438567
chr3:194029385-194029774	3.037603384	0.126350138	0.244738733
chr10:45453721-45453921	0.808379133	0.12661261	0.245128136
chr17:5000892-5001205	0.748450738	0.126641277	0.245128136
chr11:128161831-128162042	0.750623796	0.126735738	0.245223737
chr12:46894676-46894859	7.135693529	0.126889254	0.245349556
chr6:2886440-2886951	0.851570906	0.126890948	0.245349556
chr4:10724626-10724928	0.45305118	0.126943038	0.245363081
chr10:6322373-6322594	4.003471364	0.127468313	0.24629087
chr20:58436515-58436843	7.022827677	0.127600032	0.246293473
chr1:18884159-18884499	12.55835348	0.127604877	0.246293473
chr4:139315146-139315301	4.28618864	0.127605459	0.246293473
chr7:129464915-129465297	0.291402063	0.128511095	0.247953499
chr20:5630956-5631337	0.31663536	0.128631893	0.248098592
chrX:139847313-139847514	2.646476983	0.128841833	0.248415456
chr1:21510856-21510968	1.620883376	0.128986838	0.248606938
chr5:55654713-55655022	2.100828262	0.129173363	0.248878282
chr8:23385278-23385670	0.670574633	0.129307368	0.249048279
chr3:141659994-141660128	2.921124226	0.130211277	0.250663165
chr4:66960590-66960760	2.925940565	0.130237965	0.250663165
chr6:159362401-159362637	0.684610733	0.131109973	0.252252251
chr8:128333152-128333458	1.983537166	0.131158474	0.252256366
chr2:239467355-239467614	1.581899433	0.131460776	0.252742366
chr20:35874402-35874620	0.472827638	0.131531877	0.252742366
chr11:117853654-117853757	0.599218117	0.13155052	0.252742366
chr15:96595737-96596273	1.631334944	0.131619445	0.252785528
chr12:46832663-46832984	4.001427333	0.131911953	0.253257918
chr7:90861359-90861732	0.555654219	0.132201365	0.25372403
chr22:30643780-30644513	0.566727614	0.132297738	0.253738283
chr9:131543592-131543786	5.697080466	0.132337958	0.253738283
chr10:135190202-135190644	1.288396639	0.132386841	0.253738283
chr21:44942511-44942810	5.78070288	0.132395329	0.253738283
chr9:139445894-139446087	1.404717617	0.13267399	0.254139574
chr8:128843918-128844302	8.780759599	0.132698131	0.254139574
chr6:113966016-113966399	0.62080692	0.132797881	0.254241123
chr8:104357065-104357412	9.305106387	0.13315531	0.254835752
chr6:110876210-110876587	466.7992082	0.133278211	0.254981275
chr16:10596760-10596940	2.103029616	0.133325215	0.254981545
chr6:160083070-160083297	3.379113364	0.133504157	0.255234054
chr7:130606000-130606565	1.509504857	0.133599205	0.255326053
chr16:9221431-9221974	1.695926181	0.133826701	0.255671025
chrX:117851602-117852198	1.361731453	0.133885645	0.255693856
chr4:14857906-14858386	8.074165805	0.133956764	0.255739913
chr16:8985617-8985749	1.816652658	0.134179687	0.255990979
chr4:78016666-78016743	0.669628431	0.13418237	0.255990979
chr9:5449112-5449361	0.622995796	0.134302217	0.256030577
chr5:56025254-56025318	0.52275987	0.13434263	0.256030577
chr7:55641818-55642122	1.886127911	0.134367244	0.256030577
chr6:12232536-12232937	1.797873508	0.134425649	0.256030577
chr1:14638404-14638703	8.797824197	0.134438405	0.256030577
chr9:134131602-134132161	1.735649639	0.134628443	0.256302785
chr11:118743137-118743420	0.560709627	0.134732021	0.256366075
chr4:113547591-113547910	1.869356252	0.134755922	0.256366075
chrX:13108157-13108758	1.912353149	0.134845903	0.25636796
chr1:241646029-241646431	0.59682986	0.134851149	0.25636796
chr16:31223480-31223547	24.67679125	0.134932552	0.25642634
chr11:129601384-129601709	2.459697168	0.134976115	0.25642634
chr20:57198784-57199334	1.642561713	0.135334694	0.257013272
chr9:125869246-125869355	1.573838295	0.135379533	0.257013272
chr6:12234649-12234812	2.296259166	0.135543699	0.257179055
chr7:20123446-20123761	5.474308711	0.135561391	0.257179055
chr6:133134288-133134908	0.631762896	0.13564445	0.257246933
chr1:244894306-244894456	1.391602958	0.135822352	0.257475633
chr16:86609499-86609840	1.883105297	0.135859684	0.257475633
chr20:351057-351207	2.652979477	0.135994813	0.257641983
chr7:2903227-2903785	0.641658883	0.136101097	0.257753592
chr3:150456267-150456381	2.732621146	0.136913411	0.259201764
chr1:246948292-246948613	1.70123797	0.136966665	0.259212392
chr8:128930937-128931257	5.795447522	0.137045729	0.25927184
chr6:106429303-106429642	0.629354612	0.137205448	0.259417904
chr6:5996432-5996750	0.685849202	0.137218292	0.259417904
chr4:77869090-77869312	0.879402522	0.137935331	0.260602616
chr20:25214082-25214352	0.724663322	0.137940734	0.260602616
chr16:85603305-85603679	3.67054071	0.138049359	0.260717307
chr16:85473143-85473232	3.690433565	0.138192046	0.260896225
chr18:8750933-8751304	5.813547246	0.138547088	0.261379361
chr20:5054597-5054958	2.088851296	0.138569426	0.261379361
chr16:85586399-85586765	3.293580043	0.138592071	0.261379361
chr22:46483894-46484294	5.246359568	0.138830972	0.261739196
chr8:117457063-117457374	2.575219742	0.138931479	0.261749323
chr6:135039766-135040264	1.356780823	0.138932558	0.261749323
chr5:44483168-44483474	4.20436682	0.139133772	0.2620237
chrX:93615949-93615975	1.719956253	0.139212105	0.2620237
chr20:48659627-48659945	2.09173304	0.13922605	0.2620237
chr20:35583660-35583902	0.685528403	0.139270822	0.2620237
chr3:134047160-134047394	0.682310316	0.139454312	0.262278227
chr22:35842495-35842590	1.522970707	0.139584132	0.262336401
chrX:13108770-13109761	2.462330474	0.139590968	0.262336401
chrX:114956184-114956305	1.510751489	0.139629887	0.262336401
chr21:27563947-27564215	1.733032529	0.139867196	0.262660408
chr7:157071910-157072285	1.481251349	0.13989889	0.262660408
chr12:46825426-46825886	3.756606595	0.13997084	0.262704843
chr4:158941982-158942153	19.44811716	0.140335846	0.263299081
chr22:50344780-50345228	1.750817733	0.140479873	0.263478453
chr3:156538683-156538849	0.785701517	0.14077925	0.263948965
chr20:2189150-2189298	1.774190594	0.141129045	0.264452055
chr20:52127266-52127520	2.005331438	0.141239574	0.264452055
chr4:139313832-139314247	1.5586835	0.141290201	0.264452055
chrX:58562170-58562482	3.602166287	0.141309567	0.264452055
chr21:44930607-44930875	3.055934739	0.141332943	0.264452055
chr9:3575908-3576060	2.615935044	0.141339198	0.264452055
chr14:24986968-24987201	0.744699158	0.141534872	0.264727136
chr8:129152052-129152429	1.992167724	0.142047898	0.2655954
chr1:232746522-232746891	5.041224199	0.142102126	0.26560552
chr5:1552632-1553029	2.354658381	0.142190845	0.265680078
chr10:5577499-5577735	2.000994461	0.142449764	0.265951742
chr3:156502026-156502257	2.437855389	0.142493733	0.265951742
chr4:40733927-40734212	0.561547385	0.14249622	0.265951742
chr22:46455003-46455485	6.244228905	0.142531755	0.265951742
chrX:2614779-2615043	3.341412581	0.142616582	0.265967274
chr1:21514333-21514464	1.658177532	0.142701146	0.265967274
chr7:104626890-104627731	1.133123505	0.14272019	0.265967274
chr14:43816626-43817007	14.91948488	0.142735607	0.265967274
chr9:5582977-5583121	1.823409141	0.142801962	0.26599982
chr22:27109967-27110337	2.834257006	0.143135963	0.266450009
chr8:141474376-141475403	1.298065686	0.143164982	0.266450009
chr7:7996944-7997264	1.692892447	0.143244773	0.266450009
chr7:7804088-7804477	4.782033224	0.143287281	0.266450009
chr7:43912365-43912715	1.954353836	0.143288499	0.266450009
chr1:15781625-15781660	2.236968025	0.14368427	0.267094675
chr12:6278115-6278307	0.820198067	0.143978757	0.267550689
chr5:170172646-170172739	1.839175953	0.14445473	0.268343525
chr7:142512822-142513372	0.545737377	0.144684024	0.268677738
chr10:6428287-6428757	0.651399565	0.144816819	0.268828283
chr7:85450448-85450904	2.476841556	0.144863908	0.268828283
chr12:46956105-46956322	11.82861273	0.14505858	0.269097761
chr12:11716028-11716373	0.651118747	0.145253982	0.26936841
chr2:232038931-232039144	1.223907005	0.145402247	0.269551491
chr3:186252092-186252491	0.342007806	0.145802022	0.270200546
chr7:41094451-41094797	0.610886452	0.145931954	0.270349256
chr4:78422770-78423148	2.682547525	0.146032159	0.270442811
chr4:141174275-141174653	0.699363462	0.146326064	0.270892322
chr6:7052517-7053280	2.196249427	0.146374458	0.270892322
chr22:50324610-50324932	1.308159408	0.146492418	0.271018445
chr14:23358205-23358555	0.726975526	0.146567527	0.271065232
chr4:164414222-164414415	1.618137242	0.146686935	0.271069416
chr1:9225492-9225752	3.050245415	0.146752124	0.271069416
chr22:27816576-27816924	1.986808215	0.146761081	0.271069416
chr22:42062739-42062953	1.133374752	0.146769068	0.271069416
chr2:231523854-231524330	1.92199173	0.146913075	0.271243313
chr7:38376350-38376385	0.76244865	0.147039813	0.271291268
chr10:3028046-3028193	2.068900139	0.147069833	0.271291268
chr6:2818912-2819151	2.65258465	0.147088631	0.271291268
chr9:122135998-122136186	2.76351043	0.147150082	0.271296537
chr9:101998006-101998474	0.760245558	0.147191211	0.271296537
chr20:36048250-36048624	0.488085865	0.147275283	0.271319443
chr10:5894245-5894675	0.563561676	0.14730337	0.271319443
chr7:130658258-130658537	2.103646443	0.14737399	0.271357657
chr6:138149142-138149492	0.598807451	0.147462373	0.271362379
chr4:46429-46531	4.962749853	0.147476301	0.271362379
chr11:125670081-125670467	1.830429921	0.147566921	0.271435213
chr11:268826-269269	1.419451568	0.147632436	0.271435213
chr20:57752920-57753075	1.636278223	0.147665545	0.271435213
chr2:235400661-235400783	0.624373009	0.147873613	0.271725879
chr8:128208934-128209645	5.762468736	0.148024054	0.271854853
chr16:10710964-10711341	3.142222791	0.148043729	0.271854853
chr8:61840077-61840454	2.050585576	0.148102355	0.271870754
chr9:139446698-139446837	1.364669757	0.148266663	0.272012054
chr9:5596043-5596612	2.416252239	0.148286866	0.272012054
chr20:49378305-49378754	6.936991237	0.148329308	0.272012054
chr11:119615995-119616274	1.644267337	0.148641891	0.272371664
chr8:28923074-28923318	3.236248086	0.148660315	0.272371664
chr20:19816564-19816804	2.310166632	0.148809209	0.272371664
chr20:62266753-62266889	0.510657819	0.148840238	0.272371664
chr8:104088692-104088862	1.651995342	0.148854615	0.272371664
chr8:41448133-41448452	15.62725606	0.148869559	0.272371664
chr11:46143609-46143973	1.454402996	0.148922637	0.272371664
chr16:34825389-34825630	0.507910119	0.148925878	0.272371664
chr8:6663567-6663735	0.744041286	0.149199931	0.272781191
chr6:158702253-158702563	1.499176041	0.149325902	0.272919795
chr7:134397020-134397253	2.042115616	0.149416078	0.272992908
chr7:26317891-26318244	1.479325007	0.149507755	0.273068712
chr8:23034603-23034952	0.710441724	0.149731531	0.273385657
chr10:42391693-42392005	4.698037067	0.149892049	0.27358693
chr12:47096740-47097106	3.710341792	0.150066005	0.273794875
chr20:52531977-52532203	2.634194466	0.15013974	0.273794875
chr1:235114050-235115068	0.827001848	0.150156939	0.273794875
chr12:12594845-12595716	3.563549945	0.150589857	0.274492265
chr22:30666798-30667328	0.680639507	0.150646666	0.274503855
chrX:62728532-62728688	3.860809747	0.150707467	0.274522707
chr5:126972-127168	2.806266152	0.150806207	0.274536021
chrX:120331489-120331718	2.096626917	0.150824061	0.274536021
chr7:42927750-42928726	0.876078568	0.150892067	0.274536021
chr12:46809510-46809878	5.729439722	0.150916604	0.274536021
chr8:90853789-90854138	4.401611262	0.150971328	0.274543782
chr22:43740111-43740598	2.653748774	0.151202175	0.274871713
chr14:23320228-23321035	0.789183808	0.15128037	0.274922008
chr21:44631926-44632172	0.577333531	0.151468874	0.275106419
chr7:130602337-130602820	2.765737905	0.151482969	0.275106419
chr4:3442737-3443092	1.715038478	0.151563931	0.27516161
chr7:130695403-130695870	4.959290647	0.151623392	0.275177744
chr10:135048867-135049308	0.59087657	0.151823185	0.275376727
chr15:101677939-101678117	4.215223524	0.151834255	0.275376727
